price_eth,price_usd,transaction_date,seller_address,background,eyes,mouth,clothes
0.075,99.05705955402348,2022-09-25T01:43:35,275,21,8,10,16
0.0024,3.1698259057287514,2022-09-25T01:43:47,700,22,0,0,16
0.0014,1.849065111675105,2022-09-25T01:43:59,772,18,22,1,16
0.018,23.77369429296564,2022-09-25T01:43:59,680,5,11,11,8
0.0069,9.11324947897016,2022-09-25T01:43:59,621,11,10,20,16
1.21,1598.1205608049122,2022-09-25T01:44:23,740,0,0,0,16
0.0075,9.905705955402349,2022-09-25T01:44:23,313,11,6,4,16
0.0074,9.773629875996985,2022-09-25T01:44:23,221,11,10,4,16
0.0079,10.434010273023809,2022-09-25T01:44:23,313,8,7,20,16
0.0076,10.037782034807712,2022-09-25T01:44:23,910,6,10,20,16
0.0074,9.773629875996985,2022-09-25T01:44:23,221,11,0,20,16
0.0075,9.905705955402349,2022-09-25T01:44:23,102,4,10,4,16
0.0023,3.037749826323387,2022-09-25T01:44:23,970,3,10,16,16
0.007,9.245325558375525,2022-09-25T01:44:23,96,8,10,4,16
0.0077,10.169858114213078,2022-09-25T01:44:23,293,4,13,20,16
0.245,323.1936710104768,2022-09-25T01:35:23,811,18,15,0,5
0.003,3.9622823821609394,2022-09-25T01:44:35,310,16,0,10,16
0.0022,2.9056737469180223,2022-09-25T01:45:23,904,23,10,11,16
0.3889,513.6438728074631,2022-09-25T01:45:23,24,0,0,10,0
0.0038,5.018891017403856,2022-09-25T01:45:23,373,6,0,10,16
0.0019,2.509445508701928,2022-09-25T01:45:35,157,2,11,17,7
0.0025,3.301901985134116,2022-09-25T01:45:35,382,4,1,17,20
0.0079,10.434010273023809,2022-09-25T01:45:59,725,10,6,12,17
0.0035,4.622662779187762,2022-09-25T01:45:59,226,21,7,0,16
0.0022,2.9056737469180223,2022-09-25T01:46:11,125,22,0,10,16
0.006999999,9.245324237614732,2022-09-25T01:46:23,103,7,13,20,16
0.0028999999999999,3.830206302755572,2022-09-25T01:46:23,286,20,12,0,16
0.0065,8.584945161348701,2022-09-25T01:46:23,856,5,6,17,16
0.011,14.52836873459011,2022-09-25T01:46:35,100,0,0,0,0
0.0022,2.9056737469180223,2022-09-25T01:46:35,721,3,12,11,16
0.0038,5.018891017403856,2022-09-25T01:46:47,373,0,0,20,16
0.0148,19.54725975199397,2022-09-25T01:46:47,1042,13,15,0,23
0.005,6.603803970268232,2022-09-25T01:47:11,445,0,6,0,0
0.0022,2.9056737469180223,2022-09-25T01:47:35,758,18,7,11,16
0.0014,1.849065111675105,2022-09-25T01:47:47,105,18,9,10,16
0.003,3.9622823821609394,2022-09-25T01:47:47,272,15,6,11,16
0.007999999,10.566085031668376,2022-09-25T01:47:47,592,4,6,20,16
0.008,10.56608635242917,2022-09-25T01:47:47,1046,13,0,10,21
0.007,9.245325558375525,2022-09-25T01:47:59,387,3,0,17,17
0.1,131.9157840859089,2022-09-25T01:22:59,206,23,21,18,21
0.0006,0.7924564764321879,2022-09-25T01:48:11,175,20,0,0,16
0.0,0.0,2022-09-25T01:37:23,288,0,0,17,5
0.0151,19.919283396972244,2022-09-25T01:24:59,873,0,6,17,17
0.003,3.9622823821609394,2022-09-25T01:48:35,180,15,0,9,16
0.01,13.207607940536464,2022-09-25T01:48:47,862,23,0,0,16
0.0,0.0,2022-09-25T01:48:59,870,15,18,0,10
0.0,0.0,2022-09-25T01:48:59,495,15,4,18,0
0.00099,1.30755318611311,2022-09-25T01:48:59,104,0,0,10,16
0.0085,11.226466749455994,2022-09-25T01:49:11,272,0,0,17,0
0.003,3.9622823821609394,2022-09-25T01:49:11,27,15,6,9,16
0.007999999,10.566085031668376,2022-09-25T01:49:23,58,6,7,4,16
0.0,0.0,2022-09-25T01:49:47,728,15,0,10,23
0.007999999,10.566085031668376,2022-09-25T01:49:47,58,8,13,4,16
0.003,3.9622823821609394,2022-09-25T01:49:47,27,15,0,0,16
0.0,0.0,2022-09-25T01:49:59,578,20,26,10,23
0.0,0.0,2022-09-25T01:50:11,870,18,8,18,10
0.0034,4.490586699782398,2022-09-25T01:50:23,380,20,6,13,16
0.0075,9.905705955402349,2022-09-25T01:50:35,625,15,15,0,16
0.006999999,9.245324237614732,2022-09-25T01:50:47,103,8,6,20,16
0.0034,4.490586699782398,2022-09-25T01:50:47,380,18,6,0,16
0.027,35.66054143944845,2022-09-25T01:50:47,882,0,26,0,27
0.0149,19.67933583139933,2022-09-25T01:50:47,542,23,0,9,16
0.0014,1.849065111675105,2022-09-25T01:51:23,105,18,6,0,16
0.02,26.41521588107293,2022-09-25T01:51:47,842,13,15,0,23
0.003,3.9622823821609394,2022-09-25T01:52:11,806,17,18,16,25
0.0,0.0,2022-09-25T01:52:23,230,4,0,0,6
0.005,6.603803970268232,2022-09-25T01:52:23,591,21,6,11,0
0.005,6.603803970268232,2022-09-25T01:52:23,591,4,9,11,9
0.005,6.603803970268232,2022-09-25T01:52:23,291,17,6,12,8
0.00339,4.477379091841861,2022-09-25T01:52:23,907,1,6,17,22
0.0036,4.754738858593127,2022-09-25T01:52:23,18,19,10,16,16
0.15,198.11411910804696,2022-09-25T01:52:23,833,0,7,0,16
0.01,13.207607940536464,2022-09-25T01:53:35,97,10,9,16,17
0.0037,4.886814937998492,2022-09-25T01:53:59,366,21,6,0,16
0.0019,2.509445508701928,2022-09-25T01:54:11,6,15,0,0,21
0.0,0.0,2022-09-25T01:54:23,499,0,0,0,16
0.0137,18.09442287853496,2022-09-25T01:54:23,135,15,25,19,5
0.0028,3.69813022335021,2022-09-25T01:54:59,180,16,6,13,16
0.007999999,10.566085031668376,2022-09-25T01:55:23,418,11,6,4,16
0.0,0.0,2022-09-25T01:55:47,564,16,23,20,14
0.0499,65.90596362327696,2022-09-25T01:55:47,885,16,5,21,6
0.0026,3.4339780645394806,2022-09-25T01:56:11,126,0,15,17,17
0.0023,3.037749826323387,2022-09-25T01:56:11,126,0,15,17,22
0.0025,3.301901985134116,2022-09-25T01:56:11,126,0,15,17,8
0.0027,3.566054143944845,2022-09-25T01:56:11,126,0,15,17,8
0.003,3.9622823821609394,2022-09-25T01:56:11,271,9,19,10,16
0.82,1083.02385112399,2022-09-25T01:56:35,849,22,19,0,6
0.005,6.603803970268232,2022-09-25T01:56:35,95,15,0,3,16
0.003,3.9622823821609394,2022-09-25T01:57:11,938,22,10,11,16
0.004,5.283043176214585,2022-09-25T01:57:11,695,3,10,17,23
0.0014,1.849065111675105,2022-09-25T01:57:11,105,0,10,10,16
0.001,1.3207607940536463,2022-09-25T01:57:47,806,12,0,10,20
0.049,64.71727890862867,2022-09-25T01:57:47,336,0,0,0,5
0.0,0.0,2022-09-25T01:58:11,675,14,19,20,21
0.0,0.0,2022-09-25T01:58:11,454,18,0,11,0
0.71,937.7401637780888,2022-09-25T01:58:11,358,20,7,0,18
0.0398,52.566279603335126,2022-09-25T01:58:11,325,0,0,12,16
0.005,6.603803970268232,2022-09-25T01:58:23,469,21,0,12,0
0.0479,63.26444203516967,2022-09-25T01:58:47,455,19,0,21,7
0.0015,1.9811411910804697,2022-09-25T01:58:47,428,7,6,0,16
120.0,158491.29528643755,2022-09-25T01:59:23,189,20,11,18,25
0.0,0.0,2022-09-25T01:59:35,503,0,0,21,16
0.0,0.0,2022-09-25T02:00:35,597,20,7,0,14
